fnm_loan_number,servicer_loan_identifier,master_servicer_number,master_servicer_name,acting_servicer_number,acting_servicer_name,activity_period,periods_delinquent,servicer_action_type,servicer_action_type_received_dt,conditional_data_attributes_action_type,delinquency_status_type_received_date,delinquency_status_type_1,delinquency_status_type_2,delinquency_status_type_3,delinquency_status_type_4,delinquency_status_type_5,delinquency_reason_type_received_date,delinquency_reason_type_1,delinquency_reason_type_2,delinquency_reason_type_3,delinquency_reason_type_4,delinquency_reason_type_5
FNM900000080,SLI-00080,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,12/2025,3,Reinstatement,2025-12-31,Escalation Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000081,SLI-00081,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,12/2025,4,Status Update,2025-12-31,Borrower Contact Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000082,SLI-00082,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,12/2025,5,Repayment Plan,2025-12-31,Document Pending,2025-12-31,Current,60 Days Past Due,,,,2025-12-31,Unemployment,,,,
FNM900000083,SLI-00083,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,12/2025,6,Loss Mitigation Referral,2025-12-31,None,2025-12-31,Delinquent,90 Days Past Due,,,,2025-12-31,Curtailment of Income,,,,
FNM900000084,SLI-00084,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,12/2025,1,Reinstatement,2025-12-31,Escalation Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000085,SLI-00085,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,12/2025,2,Status Update,2025-12-31,Borrower Contact Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000086,SLI-00086,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,12/2025,3,Repayment Plan,2025-12-31,Document Pending,2025-12-31,Current,60 Days Past Due,,,,2025-12-31,Unemployment,,,,
FNM900000087,SLI-00087,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,12/2025,4,Loss Mitigation Referral,2025-12-31,None,2025-12-31,Delinquent,90 Days Past Due,,,,2025-12-31,Curtailment of Income,,,,
FNM900000088,SLI-00088,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,12/2025,5,Reinstatement,2025-12-31,Escalation Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000089,SLI-00089,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,12/2025,6,Status Update,2025-12-31,Borrower Contact Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000090,SLI-00090,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,12/2025,1,Repayment Plan,2025-12-31,Document Pending,2025-12-31,Current,60 Days Past Due,,,,2025-12-31,Unemployment,,,,
FNM900000091,SLI-00091,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,12/2025,2,Loss Mitigation Referral,2025-12-31,None,2025-12-31,Delinquent,90 Days Past Due,,,,2025-12-31,Curtailment of Income,,,,
FNM900000092,SLI-00092,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,12/2025,3,Reinstatement,2025-12-31,Escalation Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000093,SLI-00093,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,12/2025,4,Status Update,2025-12-31,Borrower Contact Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000094,SLI-00094,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,12/2025,5,Repayment Plan,2025-12-31,Document Pending,2025-12-31,Current,60 Days Past Due,,,,2025-12-31,Unemployment,,,,
FNM900000095,SLI-00095,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,12/2025,6,Loss Mitigation Referral,2025-12-31,None,2025-12-31,Delinquent,90 Days Past Due,,,,2025-12-31,Curtailment of Income,,,,
FNM900000096,SLI-00096,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,12/2025,1,Reinstatement,2025-12-31,Escalation Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000097,SLI-00097,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,12/2025,2,Status Update,2025-12-31,Borrower Contact Required,2025-12-31,Delinquent,30 Days Past Due,,,,2025-12-31,Payment Missed,,,,
FNM900000098,SLI-00098,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,12/2025,3,Repayment Plan,2025-12-31,Document Pending,2025-12-31,Current,60 Days Past Due,,,,2025-12-31,Unemployment,,,,
FNM900000099,SLI-00099,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,12/2025,4,Loss Mitigation Referral,2025-12-31,None,2025-12-31,Delinquent,90 Days Past Due,,,,2025-12-31,Curtailment of Income,,,,
FNM900000000,SLI-00000,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,1,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000001,SLI-00001,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,2,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000002,SLI-00002,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,3,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000003,SLI-00003,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,4,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000004,SLI-00004,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,5,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000005,SLI-00005,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,6,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000006,SLI-00006,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,1,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000007,SLI-00007,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,2,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000008,SLI-00008,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,3,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000009,SLI-00009,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,4,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000010,SLI-00010,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,5,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000011,SLI-00011,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,6,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000012,SLI-00012,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,1,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000013,SLI-00013,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,2,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000014,SLI-00014,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,3,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000015,SLI-00015,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,4,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000016,SLI-00016,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,5,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000017,SLI-00017,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,6,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000018,SLI-00018,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,1,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000019,SLI-00019,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,2,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000020,SLI-00020,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,3,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000021,SLI-00021,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,4,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000022,SLI-00022,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,5,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000023,SLI-00023,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,6,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000024,SLI-00024,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,1,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000025,SLI-00025,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,2,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000026,SLI-00026,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,3,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000027,SLI-00027,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,4,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000028,SLI-00028,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,5,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000029,SLI-00029,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,6,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000030,SLI-00030,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,1,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000031,SLI-00031,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,2,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000032,SLI-00032,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,3,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000033,SLI-00033,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,4,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000034,SLI-00034,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,5,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000035,SLI-00035,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,6,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000036,SLI-00036,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,1,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000037,SLI-00037,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,2,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000038,SLI-00038,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,3,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000039,SLI-00039,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,4,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000040,SLI-00040,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,5,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000041,SLI-00041,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,6,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000042,SLI-00042,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,1,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000043,SLI-00043,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,2,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000044,SLI-00044,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,3,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000045,SLI-00045,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,4,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000046,SLI-00046,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,5,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000047,SLI-00047,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,6,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000048,SLI-00048,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,1,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000049,SLI-00049,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,2,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000050,SLI-00050,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,3,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000051,SLI-00051,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,4,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000052,SLI-00052,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,5,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000053,SLI-00053,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,6,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000054,SLI-00054,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,1,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000055,SLI-00055,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,2,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000056,SLI-00056,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,3,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000057,SLI-00057,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,4,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000058,SLI-00058,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,5,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000059,SLI-00059,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,6,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000060,SLI-00060,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,1,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000061,SLI-00061,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,2,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000062,SLI-00062,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,3,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000063,SLI-00063,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,4,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000064,SLI-00064,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,5,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000065,SLI-00065,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,6,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000066,SLI-00066,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,1,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000067,SLI-00067,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,2,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000068,SLI-00068,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,3,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000069,SLI-00069,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,4,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000070,SLI-00070,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,5,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000071,SLI-00071,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,6,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000072,SLI-00072,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,1,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000073,SLI-00073,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,2,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000074,SLI-00074,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,3,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000075,SLI-00075,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,4,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000076,SLI-00076,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,5,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000077,SLI-00077,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,6,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000078,SLI-00078,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,1,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000079,SLI-00079,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,2,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000080,SLI-00080,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,3,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000081,SLI-00081,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,4,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000082,SLI-00082,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,5,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000083,SLI-00083,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,6,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000084,SLI-00084,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,1,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000085,SLI-00085,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,2,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000086,SLI-00086,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,3,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000087,SLI-00087,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,4,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000088,SLI-00088,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,5,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000089,SLI-00089,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,6,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000090,SLI-00090,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,1,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000091,SLI-00091,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,2,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000092,SLI-00092,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,3,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000093,SLI-00093,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,4,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
FNM900000094,SLI-00094,MSN-1003,Master Servicer C,ASN-2003,Acting Servicer C,01/2026,5,Loss Mitigation Referral,2026-01-31,None,2026-01-31,Delinquent,90 Days Past Due,,,,2026-01-31,Curtailment of Income,,,,
FNM900000095,SLI-00095,MSN-1004,Master Servicer D,ASN-2004,Acting Servicer D,01/2026,6,Reinstatement,2026-01-31,Escalation Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000096,SLI-00096,MSN-1001,Master Servicer A,ASN-2001,Acting Servicer A,01/2026,1,Status Update,2026-01-31,Borrower Contact Required,2026-01-31,Delinquent,30 Days Past Due,,,,2026-01-31,Payment Missed,,,,
FNM900000097,SLI-00097,MSN-1002,Master Servicer B,ASN-2002,Acting Servicer B,01/2026,2,Repayment Plan,2026-01-31,Document Pending,2026-01-31,Current,60 Days Past Due,,,,2026-01-31,Unemployment,,,,
